Year,Regione,HPI_average
2011,ABRUZZO,887.5524399306416
2011,BASILICATA,712.6140873015872
2011,CALABRIA,669.9429898648649
2011,CAMPANIA,1196.9139579349903
2011,EMILIA-ROMAGNA,1584.389864942929
2011,FRIULI-VENEZIA GIULIA,979.9443169658781
2011,LAZIO,1707.8864826394183
2011,LIGURIA,2372.0591900097334
2011,LOMBARDIA,1354.8364079001565
2011,MARCHE,1289.9253232298206
2011,MOLISE,716.3924206583876
2011,PIEMONTE,1102.8424732307126
2011,PUGLIA,985.4984904706806
2011,SARDEGNA,900.7952645579644
2011,SICILIA,909.1841012193713
2011,TOSCANA,1911.1942080175113
2011,TRENTINO-ALTO ADIGE,2100.635622025833
2011,UMBRIA,1037.9951811759536
2011,VALLE D'AOSTA/VALLE`E D'AOSTE,2508.644185720578
2011,VENETO,1224.0130700147738
2012,ABRUZZO,890.8336547702056
2012,BASILICATA,701.1631944444445
2012,CALABRIA,666.0135698835215
2012,CAMPANIA,1170.8778184307298
2012,EMILIA-ROMAGNA,1582.8465730990692
2012,FRIULI-VENEZIA GIULIA,979.1539050535987
2012,LAZIO,1700.3385577467238
2012,LIGURIA,2346.6541708325676
2012,LOMBARDIA,1330.2426039626584
2012,MARCHE,1270.0045303209004
2012,MOLISE,721.698049063824
2012,PIEMONTE,1070.4978377580378
2012,PUGLIA,969.2531205059827
2012,SARDEGNA,905.1194267515924
2012,SICILIA,904.1548442906575
2012,TOSCANA,1885.6456777264698
2012,TRENTINO-ALTO ADIGE,2119.043231328064
2012,UMBRIA,1033.6481768145854
2012,VALLE D'AOSTA/VALLE`E D'AOSTE,2539.8086635586637
2012,VENETO,1231.28802633654
2013,ABRUZZO,882.4199755098266
2013,BASILICATA,695.0595238095239
2013,CALABRIA,658.768971332209
2013,CAMPANIA,1116.7097976008163
2013,EMILIA-ROMAGNA,1541.4686604614417
2013,FRIULI-VENEZIA GIULIA,970.8879573170732
2013,LAZIO,1658.2554168040717
2013,LIGURIA,2279.8800121506683
2013,LOMBARDIA,1302.993809483566
2013,MARCHE,1258.1664332399625
2013,MOLISE,724.6309963099632
2013,PIEMONTE,1051.760439751673
2013,PUGLIA,936.423268749882
2013,SARDEGNA,898.8345531955607
2013,SICILIA,884.0013374569503
2013,TOSCANA,1830.8987600860796
2013,TRENTINO-ALTO ADIGE,2143.422033898305
2013,UMBRIA,995.1643836135952
2013,VALLE D'AOSTA/VALLE`E D'AOSTE,2415.8215249662617
2013,VENETO,1269.8541309096584
2014,ABRUZZO,869.6605293440737
2014,BASILICATA,725.6179273228997
2014,CALABRIA,684.7500362050655
2014,CAMPANIA,1103.641693393855
2014,EMILIA-ROMAGNA,1433.205912936799
2014,FRIULI-VENEZIA GIULIA,1010.5396603210154
2014,LAZIO,1562.9886129455856
2014,LIGURIA,2234.3618038086324
2014,LOMBARDIA,1305.461175242037
2014,MARCHE,1248.7750471113231
2014,MOLISE,726.1128699013595
2014,PIEMONTE,1048.6018147019363
2014,PUGLIA,1018.8722249743971
2014,SARDEGNA,1088.9547940727828
2014,SICILIA,928.3166637335448
2014,TOSCANA,1808.0234987503354
2014,TRENTINO-ALTO ADIGE,2123.731632950383
2014,UMBRIA,1043.914800995025
2014,VALLE D'AOSTA/VALLE`E D'AOSTE,2338.691962487774
2014,VENETO,1319.4596433117108
2015,ABRUZZO,844.5468929804373
2015,BASILICATA,727.3138401732463
2015,CALABRIA,682.1105072463768
2015,CAMPANIA,1071.788386032572
2015,EMILIA-ROMAGNA,1382.0320144801435
2015,FRIULI-VENEZIA GIULIA,990.0433526011561
2015,LAZIO,1506.426238738739
2015,LIGURIA,2226.294843049327
2015,LOMBARDIA,1303.9301034824089
2015,MARCHE,1195.978705978706
2015,MOLISE,718.4576612903226
2015,PIEMONTE,1019.1204743908331
2015,PUGLIA,1010.5290465144953
2015,SARDEGNA,1054.0819609161185
