Region;Year;territory_code;population;log_population;area_km2;density;log_density;gdp;log_gdp;gdp_per_capita;log_gdp_per_capita;tourism_arrivals;log_tourism_arrivals;tourism_nightspent;log_tourism_nightspent;HPI_average;log_HPI_average;Observation_Disp_Income;log_Observation_Disp_Income;Observation_Average_Monthly_Exp;log_Observation_Average_Monthly_Exp;Observation_CPI_housing;log_Observation_CPI_housing;Observation_Income_Percentage
Abruzzo;2011;ITF1;1329220.0;14.100102861993975;10831.4964;122.71803921755446;4.809889359798623;34778.9;10.456766160036064;26164.893697055417;10.172173856006365;957033;13.771593152599195;3346473.0;15.023417513359403;887.5524399306416;6.788467606849782;20779.2;9.941707765355826;286.0;5.655991810819852;;;13.6
Abruzzo;2012;ITF1;1331624.0;14.101909807951046;10831.4964;122.93998454359456;4.811696305755694;34165.9;10.438983349616342;25657.317681267385;10.15258409962957;929495;13.74239670689302;3197758.0;14.977960497217559;890.8336547702056;6.792157715058197;20004.9;9.903732522528529;274.0;5.6131281063880705;;;12.2
Abruzzo;2013;ITF1;1332583.0;14.102629722012843;10831.4964;123.02852263330854;4.812416219817491;33349.6;10.414801057268843;25026.28354106273;10.127681893220274;887904;13.696618908022096;2987950.0;14.910098091493765;882.4199755098266;6.782668105386857;20121.2;9.90952926458227;259.0;5.556828061699537;;;12.0
Abruzzo;2014;ITF1;1329918.0;14.100627844161904;10831.4964;122.78248091371752;4.810414341966552;32913.6;10.40164122519821;24748.59352230739;10.11652393900058;919549;13.73163861143809;2947385.0;14.896428894517163;869.6605293440737;6.768102939346063;19973.4;9.902156667301133;240.0;5.480638923341991;;;10.9
Abruzzo;2015;ITF1;1325836.0;14.097553761837586;10831.4964;122.40561701151468;4.807340259642234;33008.8;10.404529471566049;24896.593545506385;10.122486267692736;1005595;13.821089964089886;3093723.0;14.944885777988327;844.5468929804373;6.738800262214179;20247.5;9.915786608123145;222.0;5.402677381872279;;;10.2
Abruzzo;2016;ITF1;1319294.0;14.092607302995233;10831.4964;121.8016376758432;4.802393800799881;33192.3;10.410073200294345;25159.13814509882;10.132976455263385;1054634;13.868704345270556;3245466.0;14.992769503357033;820.3754315304948;6.709762078809893;20311.9;9.918962200174287;264.0;5.575949103146316;99.2;4.597138014290827;12.0
Abruzzo;2017;ITF1;1313930.0;14.088533204157132;10831.4964;121.30641524286524;4.7983197019617805;33325.6;10.414081149385956;25363.2994147329;10.141058503193097;1123044;13.93155341371884;3601086.0;15.096746024600765;794.77416570771;6.678058006007103;20611.8;9.933619006315459;246.0;5.5053315359323625;101.0;4.61512051684126;10.8
Abruzzo;2018;ITF1;1306059.0;14.082524763908363;10831.4964;120.57973817911254;4.792311261713012;33208.1;10.410549101050913;25426.186718976707;10.143534895106823;1196641;13.995029023098363;3555228.0;15.083929754184012;787.2065592635213;6.6684906781010955;20846.2;9.944926956419991;240.0;5.480638923341991;104.0;4.6443908991413725;10.3
Abruzzo;2019;ITF1;1300645.0;14.078370853234297;10831.4964;120.07989957878766;4.788157351038945;33412.1;10.416673388807988;25688.869753084047;10.153813093537964;1217085;14.011969213409083;3606096.0;15.098136304687205;776.6451149425288;6.65498350850559;20868.8;9.946010499616019;264.0;5.575949103146316;105.4;4.657762636107262;11.0
Abruzzo;2020;ITF1;1293941.0;14.0732031579494;10831.4964;119.46096386091214;4.782989655754049;30550.3;10.327129784518792;23610.272802237505;10.069437184533665;604332;13.311878994778525;2054383.0;14.535486117521422;758.3663793103449;6.631166618880029;20343.4;9.920511813941909;284.0;5.648974238161206;102.0;4.624972813284271;11.2
