FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.4,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,119.3,,
A,Annual,ITC45,Milano,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120.6,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,100,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.3,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.5,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,103.2,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.9,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,105,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,114,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,120.1,,
A,Annual,ITD,Nord-est,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,121.4,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,99.9,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.1,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2018,102.2,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2019,102.7,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2020,102.5,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2021,104.2,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2022,112.4,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2023,118.8,,
A,Annual,ITE,Centro (I),40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2024,120.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2016,100.1,,
A,Annual,ITF,Sud,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,00,All items,2017,101.2,,
