FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,INSTITUTIONAL_SECTOR,Institutional sector,VALUATION,Valuation (DESC),PRICE,Price (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),Year,Observation_Disp_Income,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_INSTITUTIONAL_SECTOR,Institutional sector (NOTE_INSTITUTIONAL_SECTOR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_PRICE,Price (NOTE_PRICE),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2022,93821.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC1,Piemonte,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2023,99483.6,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2011,2499,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2012,2422.7,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2013,2396.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2014,2414.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2015,2421.7,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2016,2421.4,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2017,2465.6,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2018,2489,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2019,2495.8,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2020,2371.9,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2021,2462.4,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2022,2632.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC2,Valle d'Aosta,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2023,2813.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2011,30238.5,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2012,29273.8,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2013,29090.9,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2014,29217.1,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2015,29188.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2016,29565,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2017,30563.6,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2018,30337.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2019,30534.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2020,29319.2,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2021,30752.4,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2022,33011.3,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC3,Liguria,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2023,34813.9,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC4,Lombardia,B6N_B_W0,Net disposable income,S14,Households,V,Current prices,S,Standard valuation based on SNA/ESA,N,Raw data,2025M6,Jun.25,2011,209280,,,,,TIPO_DATO_DCCN_SI__B6N_B_W0_N1,Net disposable incomeGross disposable income after deduction of consumption of fixed capital.,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,,,,,,,EURO,Euro,6,Millions
