FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),PURCHASES_DWELLINGS,Purchases of dwellings,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,107.4,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,110.6,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,120.5,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,135.1,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,140.7,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,150.1,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,158.1,,
A,Annual,ITC45,Milano,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2024,166.4,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2010,116.5,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2011,118.4,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2012,115.4,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2013,108.9,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,103.9,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,99.1,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,97.9,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,98.5,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,99.3,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,101.6,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,104.6,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,109.5,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2023,111.8,,
