FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,Year,Observation_Average_Monthly_Exp,OBS_STATUS,Observation status
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,221,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,213,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,216,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,217,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,224,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,226,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,256,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,235,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,236,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,276,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,262,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,258,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,258,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,244,,
A,Annual,ITG1,Sicilia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,231,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,265,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,266,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,265,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,256,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,250,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,253,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,243,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,250,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,258,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,247,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,252,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,267,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,296,,
A,Annual,ITG2,Sardegna,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,271,,
