DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Puglia,2015,1757592,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Puglia,2016,1948013,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Puglia,2017,2063074,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Puglia,2018,2260230,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Puglia,2019,2341120,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Basilicata,2015,171823,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Basilicata,2016,177663,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Basilicata,2017,175021,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Basilicata,2018,204405,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Basilicata,2019,210882,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Calabria,2015,1409447,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Calabria,2016,1558959,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Calabria,2017,1712960,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Calabria,2018,1766722,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Calabria,2019,1888063,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sicilia,2015,5924215,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sicilia,2016,5843088,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sicilia,2017,5974299,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sicilia,2018,6263048,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sicilia,2019,6133210,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sardegna,2015,4361685,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sardegna,2016,4806887,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sardegna,2017,5280520,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sardegna,2018,5596945,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Sardegna,2019,5534117,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Bolzano/Bozen,2015,15839534,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Bolzano/Bozen,2016,16886332,,
ESTAT:TOUR_OCC_NIN2(1.0),30/11/25 23:00:00,Annual,Foreign country,Number,Hotels and similar accommodation,Provincia Autonoma di Bolzano/Bozen,2017,17213079,,
