FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Year,Observation_CPI_housing
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,101.5
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,102.9
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,99.5
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,108.3
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,159.7
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,160.6
A,Annual,ITDA,Trentino Alto Adige,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,147.3
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,97.7
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,99.4
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,102
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,103.5
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,100.2
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,107
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,144.3
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,146.4
A,Annual,ITD3,Veneto,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,137.7
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,97.6
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,99.9
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,103.3
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,104.8
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,101
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.1
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,146.2
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,147.9
A,Annual,ITD4,Friuli-Venezia Giulia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,140.1
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.2
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100.1
A,Annual,ITD5,Emilia-Romagna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,102.7
