FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ADJUSTMENT,Adjustment (DESC),TYPE_ACCOMMODATION,Type of accommodation,ECON_ACTIVITY_NACE_2007,Economic activity (NACE Rev. 2),COUNTRY_RES_GUESTS,Country of residence of guests,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2017,16997123,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2018,16561560,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2019,17320008,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2020,10938997,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2021,14083285,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2022,15828932,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2023,15376449,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC1,Piemonte,2024,15187864,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2010,533121,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2011,539668,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2012,506181,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2013,471248,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2014,456493,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2015,471333,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2016,492039,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2017,512010,,
A,Annual,IT,Italy,NI,Nights spent,N,Raw data,ALL,Total collective accommodation establishments,551_553,'Hotels and similar accommodation, holiday and other short-stay accommodation, camping grounds, recreational vehicle parks and trailer parks',ITC2,'Valle d"'Aosta / Vallée d"'Aoste',2018,508113,,
