FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,356,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,346,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,369,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,382,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,387,,
A,Annual,ITC,Nord-ovest,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,374,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,13.5,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12.9,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,13.1,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,13.7,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,14.4,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,13.8,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,13.9,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,12.3,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,12.3,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,12.6,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,12.1,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,12.5,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,12.6,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,12.3,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,11.4,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,359,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,347,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,352,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,362,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,354,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,348,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,350,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,310,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,317,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,347,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,345,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,356,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,359,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,370,,
A,Annual,ITC1,Piemonte,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,372,,
A,Annual,ITC4,Lombardia,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,13.5,,
